description,montant,categorie,date
Restaurant McDonald's,12.50,Nourriture,2026-01-15
Essence Station Total,45.80,Transport,2026-01-16
Loyer appartement,850.00,Logement,2026-01-01
Courses Carrefour,67.30,Courses,2026-01-17
Facture électricité EDF,89.45,Énergie,2026-01-18
Abonnement Netflix,15.99,Abonnements,2026-01-19
Pharmacie médicaments,23.75,Santé,2026-01-20
Coiffeur coupe cheveux,35.00,Hygiène,2026-01-21
Transport métro,74.90,Transport,2026-01-22
Vêtements H&M,49.99,Vêtements,2026-01-23
Cadeau anniversaire,25.00,Cadeaux,2026-01-24
Réparation voiture,180.00,Réparations,2026-01-25
Livre librairie,18.50,Livres,2026-01-26
Sortie cinéma,24.00,Loisirs,2026-01-27
Facture téléphone Orange,29.99,Téléphone,2026-01-28
Gym abonnement,39.90,Sport,2026-01-29
Vétérinaire chat,65.00,Animaux,2026-01-30
Pizza livraison,18.90,Nourriture,2026-02-01
Taxi course,15.60,Transport,2026-02-02
Facture gaz,78.25,Énergie,2026-02-03
Shampoing supermarché,8.45,Hygiène,2026-02-04
Concert musique,45.00,Loisirs,2026-02-05
Pull neuf,65.80,Vêtements,2026-02-06
Dentiste consultation,85.00,Santé,2026-02-07
Frais bancaires,12.00,Banque,2026-02-08
Boulangerie pain,4.50,Nourriture,2026-02-09
Parking ville,3.20,Transport,2026-02-10
Café terrasse,2.80,Sorties,2026-02-11
Légumes marché,12.40,Courses,2026-02-12
Internet box,29.99,Internet,2026-02-13
Cadeau fête des mères,45.00,Cadeaux,2026-02-14
Voyage train,89.50,Voyage,2026-02-15